Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob Misiorowski (43256403),Jacob Misiorowski,43256403,P,11500,MIL@ATH 06/10/2026 09:05PM ET,MIL,28.27
SP,Chris Sale (43256066),Chris Sale,43256066,P,11000,ATL@CWS 06/10/2026 07:40PM ET,ATL,23.52
RP,Kyle Harrison (43256406),Kyle Harrison,43256406,P,10500,MIL@ATH 06/10/2026 09:05PM ET,MIL,19.75
SP,Cristopher Sanchez (43256404),Cristopher Sanchez,43256404,P,10500,PHI@TOR 06/10/2026 07:07PM ET,PHI,27.21
SP,Zack Wheeler (43256405),Zack Wheeler,43256405,P,10500,PHI@TOR 06/10/2026 07:07PM ET,PHI,21.72
RP,Spencer Strider (43256407),Spencer Strider,43256407,P,10000,ATL@CWS 06/10/2026 07:40PM ET,ATL,17.63
SP,Spencer Schwellenbach (43256408),Spencer Schwellenbach,43256408,P,10000,ATL@CWS 06/10/2026 07:40PM ET,ATL,0
SP,Jacob deGrom (43256409),Jacob deGrom,43256409,P,9800,TEX@KC 06/10/2026 07:40PM ET,TEX,19.62
SP,Dylan Cease (43256410),Dylan Cease,43256410,P,9500,PHI@TOR 06/10/2026 07:07PM ET,TOR,23.15
SP,Davis Martin (43256067),Davis Martin,43256067,P,9500,ATL@CWS 06/10/2026 07:40PM ET,CWS,20.75
SP,Jose Soriano (43256411),Jose Soriano,43256411,P,9500,HOU@LAA 06/10/2026 09:38PM ET,LAA,19.25
SP,Freddy Peralta (43256412),Freddy Peralta,43256412,P,9300,STL@NYM 06/10/2026 07:10PM ET,NYM,15.71
SP,Nolan McLean (43256413),Nolan McLean,43256413,P,9300,STL@NYM 06/10/2026 07:10PM ET,NYM,17.07
RP,Clay Holmes (43256414),Clay Holmes,43256414,P,9300,STL@NYM 06/10/2026 07:10PM ET,NYM,17.9
SP,Hunter Brown (43256415),Hunter Brown,43256415,P,9200,HOU@LAA 06/10/2026 09:38PM ET,HOU,26.7
SP,Spencer Arrighetti (43256416),Spencer Arrighetti,43256416,P,9200,HOU@LAA 06/10/2026 09:38PM ET,HOU,18.74
